# ===== Дарк-фэнтези датасет: имя|описание предмета =====
# Капшен соберётся как: gprop, a single [описание] on a white background

# --- Смерть и погребение ---
# ===== ВАШЕ ОРУЖИЕ (18 шт) — ПРИВЕДИТЕ ПОД СЕБЯ =============
# Впишите реальные имена файлов и поправьте описания под то,
# что на картинках. Скрипт отчётливо скажет, какие имена не нашёл.
# ============================================================

axe01|ornate viking axe, wooden handle, steel head with runic etching, metal mace pommel
axe02|ornate double-headed battle axe, weathered steel head with scrollwork etching, central spear point, dark metal shaft
axe03|weathered double-headed executioner's axe, heavy rusted steel head, long wooden handle
hammer01|heavy-duty blacksmith's hammer, hand-forged steel, metal handle, forged hammer head
hammer02|heavy blacksmith's hammer, rough-hewn iron head, dark wooden handle, leather-wrapped grip, forged metal pommel
shield01|weathered medieval heater shield, battle-worn steel, engraved dragon and blue enamel inlay, riveted border
shield02|weathered medieval heater shield, dark aged wood planks, heavily rusted iron rim and central boss, cross reinforcement straps
shield03|weathered medieval heater shield, quartered blue and red field, weathered steel rim and central boss, intricate relief-cast dragon and vine motif on the escutcheon
spear01|ornate elven spear, filigree steel blade, dark wooden shaft, engraved metal pommel
spear02|medieval partisan spear, weathered steel head with lugs, long wooden shaft
spear03|ornate fantasy spear, dark metallic shaft, gold filigree ornamentation, steel spearhead, intricate guard
sword01|weathered two-handed medieval sword, forged steel blade, complex guard with side rings, leather-wrapped grip, octagonal pommel
sword02|ornate fantasy greatsword, heavily weathered dark steel, intricate gothic hilt and guard, etched runic patterns on blade
sword03|heavy fantasy greatsword, weathered and rusted dark steel, ornate horned hilt and guard, battle-worn blade
sword04|weathered falchion-style sword, hand-forged steel blade with patina, simple s-curve iron guard, plain iron hilt
sword05|heavy fantasy greatsword, rough dark metal casting, ornate hilt and guard, battle-worn blade
